,METER_DATE,YEAR,MONTH,DAY,SEASON,HOUR,TIME_PERIOD,BUNDANG
0,2019-10-01 01:00:00,2019,10,1,2,1,0,55.1
2,2019-10-01 02:00:00,2019,10,1,2,2,0,56.0
4,2019-10-01 03:00:00,2019,10,1,2,3,0,51.0
6,2019-10-01 04:00:00,2019,10,1,2,4,0,48.9
8,2019-10-01 05:00:00,2019,10,1,2,5,0,44.9
10,2019-10-01 06:00:00,2019,10,1,2,6,1,44.9
12,2019-10-01 07:00:00,2019,10,1,2,7,1,47.9
14,2019-10-01 08:00:00,2019,10,1,2,8,1,52.9
16,2019-10-01 09:00:00,2019,10,1,2,9,1,66.0
18,2019-10-01 10:00:00,2019,10,1,2,10,1,71.1
20,2019-10-01 11:00:00,2019,10,1,2,11,1,71.2
22,2019-10-01 12:00:00,2019,10,1,2,12,2,70.3
24,2019-10-01 13:00:00,2019,10,1,2,13,2,69.3
26,2019-10-01 14:00:00,2019,10,1,2,14,2,66.2
28,2019-10-01 15:00:00,2019,10,1,2,15,2,62.2
30,2019-10-01 16:00:00,2019,10,1,2,16,2,53.2
32,2019-10-01 17:00:00,2019,10,1,2,17,2,48.1
34,2019-10-01 18:00:00,2019,10,1,2,18,3,49.9
36,2019-10-01 19:00:00,2019,10,1,2,19,3,52.9
38,2019-10-01 20:00:00,2019,10,1,2,20,3,62.9
40,2019-10-01 21:00:00,2019,10,1,2,21,3,66.8
42,2019-10-01 22:00:00,2019,10,1,2,22,3,61.9
44,2019-10-01 23:00:00,2019,10,1,2,23,3,55.9
46,2019-10-02 00:00:00,2019,10,2,2,0,0,46.9
48,2019-10-02 01:00:00,2019,10,2,2,1,0,60.8
50,2019-10-02 02:00:00,2019,10,2,2,2,0,49.8
52,2019-10-02 03:00:00,2019,10,2,2,3,0,43.8
54,2019-10-02 04:00:00,2019,10,2,2,4,0,44.9
56,2019-10-02 05:00:00,2019,10,2,2,5,0,46.9
58,2019-10-02 06:00:00,2019,10,2,2,6,1,48.9
60,2019-10-02 07:00:00,2019,10,2,2,7,1,53.9
62,2019-10-02 08:00:00,2019,10,2,2,8,1,80.9
64,2019-10-02 09:00:00,2019,10,2,2,9,1,71.9
66,2019-10-02 10:00:00,2019,10,2,2,10,1,60.0
68,2019-10-02 11:00:00,2019,10,2,2,11,1,57.0
70,2019-10-02 12:00:00,2019,10,2,2,12,2,56.0
72,2019-10-02 13:00:00,2019,10,2,2,13,2,54.0
74,2019-10-02 14:00:00,2019,10,2,2,14,2,53.9
76,2019-10-02 15:00:00,2019,10,2,2,15,2,55.0
78,2019-10-02 16:00:00,2019,10,2,2,16,2,53.9
80,2019-10-02 17:00:00,2019,10,2,2,17,2,50.1
82,2019-10-02 18:00:00,2019,10,2,2,18,3,42.0
84,2019-10-02 19:00:00,2019,10,2,2,19,3,50.0
86,2019-10-02 20:00:00,2019,10,2,2,20,3,59.0
88,2019-10-02 21:00:00,2019,10,2,2,21,3,75.0
90,2019-10-02 22:00:00,2019,10,2,2,22,3,66.0
92,2019-10-02 23:00:00,2019,10,2,2,23,3,61.0
94,2019-10-03 00:00:00,2019,10,3,2,0,0,62.0
96,2019-10-03 01:00:00,2019,10,3,2,1,0,52.0
98,2019-10-03 02:00:00,2019,10,3,2,2,0,46.0
100,2019-10-03 03:00:00,2019,10,3,2,3,0,44.0
102,2019-10-03 04:00:00,2019,10,3,2,4,0,42.0
104,2019-10-03 05:00:00,2019,10,3,2,5,0,40.0
106,2019-10-03 06:00:00,2019,10,3,2,6,1,43.0
108,2019-10-03 07:00:00,2019,10,3,2,7,1,48.0
110,2019-10-03 08:00:00,2019,10,3,2,8,1,54.0
112,2019-10-03 09:00:00,2019,10,3,2,9,1,62.0
114,2019-10-03 10:00:00,2019,10,3,2,10,1,65.0
116,2019-10-03 11:00:00,2019,10,3,2,11,1,66.1
118,2019-10-03 12:00:00,2019,10,3,2,12,2,64.5
120,2019-10-03 13:00:00,2019,10,3,2,13,2,58.3
122,2019-10-03 14:00:00,2019,10,3,2,14,2,50.4
124,2019-10-03 15:00:00,2019,10,3,2,15,2,46.6
126,2019-10-03 16:00:00,2019,10,3,2,16,2,42.3
128,2019-10-03 17:00:00,2019,10,3,2,17,2,43.0
130,2019-10-03 18:00:00,2019,10,3,2,18,3,44.9
132,2019-10-03 19:00:00,2019,10,3,2,19,3,49.9
134,2019-10-03 20:00:00,2019,10,3,2,20,3,51.9
136,2019-10-03 21:00:00,2019,10,3,2,21,3,48.9
138,2019-10-03 22:00:00,2019,10,3,2,22,3,44.9
140,2019-10-03 23:00:00,2019,10,3,2,23,3,39.9
142,2019-10-04 00:00:00,2019,10,4,2,0,0,36.9
144,2019-10-04 01:00:00,2019,10,4,2,1,0,43.6
146,2019-10-04 02:00:00,2019,10,4,2,2,0,40.8
148,2019-10-04 03:00:00,2019,10,4,2,3,0,37.8
150,2019-10-04 04:00:00,2019,10,4,2,4,0,39.8
152,2019-10-04 05:00:00,2019,10,4,2,5,0,44.8
154,2019-10-04 06:00:00,2019,10,4,2,6,1,55.7
156,2019-10-04 07:00:00,2019,10,4,2,7,1,64.8
158,2019-10-04 08:00:00,2019,10,4,2,8,1,70.8
160,2019-10-04 09:00:00,2019,10,4,2,9,1,68.8
162,2019-10-04 10:00:00,2019,10,4,2,10,1,62.0
164,2019-10-04 11:00:00,2019,10,4,2,11,1,58.2
166,2019-10-04 12:00:00,2019,10,4,2,12,2,56.8
168,2019-10-04 13:00:00,2019,10,4,2,13,2,53.6
170,2019-10-04 14:00:00,2019,10,4,2,14,2,56.5
172,2019-10-04 15:00:00,2019,10,4,2,15,2,58.1
174,2019-10-04 16:00:00,2019,10,4,2,16,2,59.1
176,2019-10-04 17:00:00,2019,10,4,2,17,2,64.0
178,2019-10-04 18:00:00,2019,10,4,2,18,3,68.9
180,2019-10-04 19:00:00,2019,10,4,2,19,3,72.9
182,2019-10-04 20:00:00,2019,10,4,2,20,3,70.9
