실적일자,요일,시간,청주 지역공급량(Gcal)
2010-01-01,금,01,178
2010-01-01,금,02,170
2010-01-01,금,03,165
2010-01-01,금,04,161
2010-01-01,금,05,162
2010-01-01,금,07,163
2010-01-01,금,07,166
2010-01-01,금,08,172
2010-01-01,금,09,171
2010-01-01,금,10,157
2010-01-01,금,11,134
2010-01-01,금,12,123
2010-01-01,금,13,115
2010-01-01,금,14,104
2010-01-01,금,15,105
2010-01-01,금,16,110
2010-01-01,금,17,127
2010-01-01,금,18,153
2010-01-01,금,19,173
2010-01-01,금,20,182
2010-01-01,금,21,183
2010-01-01,금,22,184
2010-01-01,금,23,182
2010-01-01,금,24,174
2010-01-02,토,01,157
2010-01-02,토,02,149
2010-01-02,토,03,147
2010-01-02,토,04,141
2010-01-02,토,05,140
2010-01-02,토,07,139
2010-01-02,토,07,142
2010-01-02,토,08,145
2010-01-02,토,09,148
2010-01-02,토,10,144
2010-01-02,토,11,132
2010-01-02,토,12,126
2010-01-02,토,13,123
2010-01-02,토,14,122
2010-01-02,토,15,119
2010-01-02,토,16,122
2010-01-02,토,17,129
2010-01-02,토,18,145
2010-01-02,토,19,158
2010-01-02,토,20,167
2010-01-02,토,21,174
2010-01-02,토,22,179
2010-01-02,토,23,181
2010-01-02,토,24,172
2010-01-03,일,01,165
2010-01-03,일,02,160
2010-01-03,일,03,155
2010-01-03,일,04,150
2010-01-03,일,05,147
2010-01-03,일,07,152
2010-01-03,일,07,152
2010-01-03,일,08,160
2010-01-03,일,09,164
2010-01-03,일,10,158
2010-01-03,일,11,141
2010-01-03,일,12,118
2010-01-03,일,13,109
2010-01-03,일,14,108
2010-01-03,일,15,105
2010-01-03,일,16,112
2010-01-03,일,17,126
2010-01-03,일,18,163
2010-01-03,일,19,185
2010-01-03,일,20,196
2010-01-03,일,21,202
2010-01-03,일,22,193
2010-01-03,일,23,186
2010-01-03,일,24,169
2010-01-04,월,01,161
2010-01-04,월,02,149
2010-01-04,월,03,142
2010-01-04,월,04,139
2010-01-04,월,05,137
2010-01-04,월,07,142
2010-01-04,월,07,158
2010-01-04,월,08,174
2010-01-04,월,09,174
2010-01-04,월,10,162
2010-01-04,월,11,138
2010-01-04,월,12,130
2010-01-04,월,13,131
2010-01-04,월,14,132
2010-01-04,월,15,126
2010-01-04,월,16,125
2010-01-04,월,17,152
2010-01-04,월,18,171
2010-01-04,월,19,185
2010-01-04,월,20,195
2010-01-04,월,21,196
2010-01-04,월,22,203
2010-01-04,월,23,191
2010-01-04,월,24,176
2010-01-05,화,01,162
2010-01-05,화,02,151
2010-01-05,화,03,149
2010-01-05,화,04,148
2010-01-05,화,05,147
2010-01-05,화,07,156
2010-01-05,화,07,163
2010-01-05,화,08,181
2010-01-05,화,09,178
2010-01-05,화,10,154
2010-01-05,화,11,143
2010-01-05,화,12,121
2010-01-05,화,13,113
2010-01-05,화,14,118
2010-01-05,화,15,120
2010-01-05,화,16,121
2010-01-05,화,17,140
2010-01-05,화,18,170
2010-01-05,화,19,199
2010-01-05,화,20,208
2010-01-05,화,21,209
2010-01-05,화,22,211
2010-01-05,화,23,208
2010-01-05,화,24,200
2010-01-06,수,01,180
2010-01-06,수,02,177
2010-01-06,수,03,162
2010-01-06,수,04,162
2010-01-06,수,05,163
2010-01-06,수,07,170
2010-01-06,수,07,178
2010-01-06,수,08,203
2010-01-06,수,09,195
2010-01-06,수,10,162
2010-01-06,수,11,134
2010-01-06,수,12,124
2010-01-06,수,13,116
2010-01-06,수,14,107
2010-01-06,수,15,112
2010-01-06,수,16,118
2010-01-06,수,17,142
2010-01-06,수,18,184
2010-01-06,수,19,211
2010-01-06,수,20,212
2010-01-06,수,21,216
2010-01-06,수,22,217
2010-01-06,수,23,213
2010-01-06,수,24,203
2010-01-07,목,01,188
2010-01-07,목,02,179
2010-01-07,목,03,161
2010-01-07,목,04,161
2010-01-07,목,05,164
2010-01-07,목,07,164
2010-01-07,목,07,185
2010-01-07,목,08,190
2010-01-07,목,09,194
2010-01-07,목,10,171
2010-01-07,목,11,144
2010-01-07,목,12,125
2010-01-07,목,13,113
2010-01-07,목,14,111
2010-01-07,목,15,111
2010-01-07,목,16,119
2010-01-07,목,17,139
2010-01-07,목,18,177
2010-01-07,목,19,201
2010-01-07,목,20,214
2010-01-07,목,21,216
2010-01-07,목,22,222
2010-01-07,목,23,215
2010-01-07,목,24,217
2010-01-08,금,01,196
2010-01-08,금,02,179
2010-01-08,금,03,173
2010-01-08,금,04,162
2010-01-08,금,05,158
2010-01-08,금,07,170
2010-01-08,금,07,192
2010-01-08,금,08,201
2010-01-08,금,09,206
2010-01-08,금,10,178
2010-01-08,금,11,147
2010-01-08,금,12,124
2010-01-08,금,13,118
2010-01-08,금,14,111
2010-01-08,금,15,102
2010-01-08,금,16,105
2010-01-08,금,17,127
2010-01-08,금,18,158
2010-01-08,금,19,199
2010-01-08,금,20,207
2010-01-08,금,21,209
2010-01-08,금,22,209
2010-01-08,금,23,209
2010-01-08,금,24,255
2010-01-09,토,01,183
2010-01-09,토,02,181
2010-01-09,토,03,171
2010-01-09,토,04,162
2010-01-09,토,05,149
2010-01-09,토,07,158
2010-01-09,토,07,175
2010-01-09,토,08,180
2010-01-09,토,09,184
2010-01-09,토,10,158
2010-01-09,토,11,147
2010-01-09,토,12,138
2010-01-09,토,13,138
2010-01-09,토,14,135
2010-01-09,토,15,138
2010-01-09,토,16,140
2010-01-09,토,17,145
2010-01-09,토,18,171
2010-01-09,토,19,195
2010-01-09,토,20,192
2010-01-09,토,21,185
2010-01-09,토,22,184
2010-01-09,토,23,184
2010-01-09,토,24,182
2010-01-10,일,01,174
2010-01-10,일,02,168
2010-01-10,일,03,159
2010-01-10,일,04,160
2010-01-10,일,05,150
2010-01-10,일,07,153
2010-01-10,일,07,162
2010-01-10,일,08,165
2010-01-10,일,09,171
2010-01-10,일,10,167
2010-01-10,일,11,149
2010-01-10,일,12,137
2010-01-10,일,13,122
2010-01-10,일,14,111
2010-01-10,일,15,119
2010-01-10,일,16,126
2010-01-10,일,17,126
