,METER_DATE,YEAR,MONTH,DAY,SEASON,HOUR,TIME_PERIOD,CHEONGJU
0,2019-10-01 01:00:00,2019,10,1,2,1,0,16
2,2019-10-01 02:00:00,2019,10,1,2,2,0,13
4,2019-10-01 03:00:00,2019,10,1,2,3,0,10
6,2019-10-01 04:00:00,2019,10,1,2,4,0,11
8,2019-10-01 05:00:00,2019,10,1,2,5,0,11
10,2019-10-01 06:00:00,2019,10,1,2,6,1,14
12,2019-10-01 07:00:00,2019,10,1,2,7,1,19
14,2019-10-01 08:00:00,2019,10,1,2,8,1,17
16,2019-10-01 09:00:00,2019,10,1,2,9,1,14
18,2019-10-01 10:00:00,2019,10,1,2,10,1,25
20,2019-10-01 11:00:00,2019,10,1,2,11,1,21
22,2019-10-01 12:00:00,2019,10,1,2,12,2,21
24,2019-10-01 13:00:00,2019,10,1,2,13,2,19
26,2019-10-01 14:00:00,2019,10,1,2,14,2,28
28,2019-10-01 15:00:00,2019,10,1,2,15,2,30
30,2019-10-01 16:00:00,2019,10,1,2,16,2,26
32,2019-10-01 17:00:00,2019,10,1,2,17,2,24
34,2019-10-01 18:00:00,2019,10,1,2,18,3,28
36,2019-10-01 19:00:00,2019,10,1,2,19,3,32
38,2019-10-01 20:00:00,2019,10,1,2,20,3,31
40,2019-10-01 21:00:00,2019,10,1,2,21,3,32
42,2019-10-01 22:00:00,2019,10,1,2,22,3,30
44,2019-10-01 23:00:00,2019,10,1,2,23,3,27
46,2019-10-02 00:00:00,2019,10,2,2,0,0,25
48,2019-10-02 01:00:00,2019,10,2,2,1,0,17
50,2019-10-02 02:00:00,2019,10,2,2,2,0,15
52,2019-10-02 03:00:00,2019,10,2,2,3,0,11
54,2019-10-02 04:00:00,2019,10,2,2,4,0,12
56,2019-10-02 05:00:00,2019,10,2,2,5,0,16
58,2019-10-02 06:00:00,2019,10,2,2,6,1,13
60,2019-10-02 07:00:00,2019,10,2,2,7,1,21
62,2019-10-02 08:00:00,2019,10,2,2,8,1,39
64,2019-10-02 09:00:00,2019,10,2,2,9,1,31
66,2019-10-02 10:00:00,2019,10,2,2,10,1,21
68,2019-10-02 11:00:00,2019,10,2,2,11,1,22
70,2019-10-02 12:00:00,2019,10,2,2,12,2,23
72,2019-10-02 13:00:00,2019,10,2,2,13,2,22
74,2019-10-02 14:00:00,2019,10,2,2,14,2,21
76,2019-10-02 15:00:00,2019,10,2,2,15,2,22
78,2019-10-02 16:00:00,2019,10,2,2,16,2,20
80,2019-10-02 17:00:00,2019,10,2,2,17,2,21
82,2019-10-02 18:00:00,2019,10,2,2,18,3,24
84,2019-10-02 19:00:00,2019,10,2,2,19,3,31
86,2019-10-02 20:00:00,2019,10,2,2,20,3,30
88,2019-10-02 21:00:00,2019,10,2,2,21,3,33
90,2019-10-02 22:00:00,2019,10,2,2,22,3,33
92,2019-10-02 23:00:00,2019,10,2,2,23,3,27
