,METER_DATE,YEAR,MONTH,DAY,SEASON,HOUR,TIME_PERIOD,DONGTAN
0,2019-10-01 01:00:00,2019,10,1,2,1,0,21
2,2019-10-01 02:00:00,2019,10,1,2,2,0,16
4,2019-10-01 03:00:00,2019,10,1,2,3,0,14
6,2019-10-01 04:00:00,2019,10,1,2,4,0,18
8,2019-10-01 05:00:00,2019,10,1,2,5,0,15
10,2019-10-01 06:00:00,2019,10,1,2,6,1,20
12,2019-10-01 07:00:00,2019,10,1,2,7,1,22
14,2019-10-01 08:00:00,2019,10,1,2,8,1,31
16,2019-10-01 09:00:00,2019,10,1,2,9,1,28
18,2019-10-01 10:00:00,2019,10,1,2,10,1,37
20,2019-10-01 11:00:00,2019,10,1,2,11,1,40
22,2019-10-01 12:00:00,2019,10,1,2,12,2,39
24,2019-10-01 13:00:00,2019,10,1,2,13,2,40
26,2019-10-01 14:00:00,2019,10,1,2,14,2,39
28,2019-10-01 15:00:00,2019,10,1,2,15,2,46
30,2019-10-01 16:00:00,2019,10,1,2,16,2,44
32,2019-10-01 17:00:00,2019,10,1,2,17,2,40
34,2019-10-01 18:00:00,2019,10,1,2,18,3,34
36,2019-10-01 19:00:00,2019,10,1,2,19,3,36
38,2019-10-01 20:00:00,2019,10,1,2,20,3,41
40,2019-10-01 21:00:00,2019,10,1,2,21,3,36
42,2019-10-01 22:00:00,2019,10,1,2,22,3,37
44,2019-10-01 23:00:00,2019,10,1,2,23,3,31
46,2019-10-02 00:00:00,2019,10,2,2,0,0,29
48,2019-10-02 01:00:00,2019,10,2,2,1,0,25
50,2019-10-02 02:00:00,2019,10,2,2,2,0,20
52,2019-10-02 03:00:00,2019,10,2,2,3,0,24
54,2019-10-02 04:00:00,2019,10,2,2,4,0,14
56,2019-10-02 05:00:00,2019,10,2,2,5,0,20
58,2019-10-02 06:00:00,2019,10,2,2,6,1,18
60,2019-10-02 07:00:00,2019,10,2,2,7,1,24
62,2019-10-02 08:00:00,2019,10,2,2,8,1,31
64,2019-10-02 09:00:00,2019,10,2,2,9,1,28
66,2019-10-02 10:00:00,2019,10,2,2,10,1,37
68,2019-10-02 11:00:00,2019,10,2,2,11,1,32
70,2019-10-02 12:00:00,2019,10,2,2,12,2,36
72,2019-10-02 13:00:00,2019,10,2,2,13,2,37
74,2019-10-02 14:00:00,2019,10,2,2,14,2,39
76,2019-10-02 15:00:00,2019,10,2,2,15,2,38
78,2019-10-02 16:00:00,2019,10,2,2,16,2,35
80,2019-10-02 17:00:00,2019,10,2,2,17,2,34
82,2019-10-02 18:00:00,2019,10,2,2,18,3,32
84,2019-10-02 19:00:00,2019,10,2,2,19,3,35
86,2019-10-02 20:00:00,2019,10,2,2,20,3,38
88,2019-10-02 21:00:00,2019,10,2,2,21,3,35
90,2019-10-02 22:00:00,2019,10,2,2,22,3,34
92,2019-10-02 23:00:00,2019,10,2,2,23,3,27
94,2019-10-03 00:00:00,2019,10,3,2,0,0,27
96,2019-10-03 01:00:00,2019,10,3,2,1,0,16
98,2019-10-03 02:00:00,2019,10,3,2,2,0,17
100,2019-10-03 03:00:00,2019,10,3,2,3,0,16
102,2019-10-03 04:00:00,2019,10,3,2,4,0,13
104,2019-10-03 05:00:00,2019,10,3,2,5,0,16
106,2019-10-03 06:00:00,2019,10,3,2,6,1,18
108,2019-10-03 07:00:00,2019,10,3,2,7,1,16
110,2019-10-03 08:00:00,2019,10,3,2,8,1,19
112,2019-10-03 09:00:00,2019,10,3,2,9,1,20
114,2019-10-03 10:00:00,2019,10,3,2,10,1,30
116,2019-10-03 11:00:00,2019,10,3,2,11,1,35
118,2019-10-03 12:00:00,2019,10,3,2,12,2,34
120,2019-10-03 13:00:00,2019,10,3,2,13,2,31
122,2019-10-03 14:00:00,2019,10,3,2,14,2,30
124,2019-10-03 15:00:00,2019,10,3,2,15,2,29
126,2019-10-03 16:00:00,2019,10,3,2,16,2,30
128,2019-10-03 17:00:00,2019,10,3,2,17,2,30
130,2019-10-03 18:00:00,2019,10,3,2,18,3,30
132,2019-10-03 19:00:00,2019,10,3,2,19,3,37
134,2019-10-03 20:00:00,2019,10,3,2,20,3,35
136,2019-10-03 21:00:00,2019,10,3,2,21,3,34
138,2019-10-03 22:00:00,2019,10,3,2,22,3,34
140,2019-10-03 23:00:00,2019,10,3,2,23,3,27
