,METER_DATE,YEAR,MONTH,DAY,SEASON,HOUR,TIME_PERIOD,KIMHAE
0,2019-10-01 01:00:00,2019,10,1,2,1,0,8
2,2019-10-01 02:00:00,2019,10,1,2,2,0,7
4,2019-10-01 03:00:00,2019,10,1,2,3,0,7
6,2019-10-01 04:00:00,2019,10,1,2,4,0,6
8,2019-10-01 05:00:00,2019,10,1,2,5,0,6
10,2019-10-01 06:00:00,2019,10,1,2,6,1,7
12,2019-10-01 07:00:00,2019,10,1,2,7,1,10
14,2019-10-01 08:00:00,2019,10,1,2,8,1,12
16,2019-10-01 09:00:00,2019,10,1,2,9,1,10
18,2019-10-01 10:00:00,2019,10,1,2,10,1,9
20,2019-10-01 11:00:00,2019,10,1,2,11,1,9
22,2019-10-01 12:00:00,2019,10,1,2,12,2,8
24,2019-10-01 13:00:00,2019,10,1,2,13,2,8
26,2019-10-01 14:00:00,2019,10,1,2,14,2,6
28,2019-10-01 15:00:00,2019,10,1,2,15,2,8
30,2019-10-01 16:00:00,2019,10,1,2,16,2,10
32,2019-10-01 17:00:00,2019,10,1,2,17,2,9
34,2019-10-01 18:00:00,2019,10,1,2,18,3,13
36,2019-10-01 19:00:00,2019,10,1,2,19,3,14
38,2019-10-01 20:00:00,2019,10,1,2,20,3,10
40,2019-10-01 21:00:00,2019,10,1,2,21,3,9
42,2019-10-01 22:00:00,2019,10,1,2,22,3,12
44,2019-10-01 23:00:00,2019,10,1,2,23,3,15
46,2019-10-02 00:00:00,2019,10,2,2,0,0,9
48,2019-10-02 01:00:00,2019,10,2,2,1,0,7
50,2019-10-02 02:00:00,2019,10,2,2,2,0,7
52,2019-10-02 03:00:00,2019,10,2,2,3,0,6
54,2019-10-02 04:00:00,2019,10,2,2,4,0,7
56,2019-10-02 05:00:00,2019,10,2,2,5,0,8
58,2019-10-02 06:00:00,2019,10,2,2,6,1,10
60,2019-10-02 07:00:00,2019,10,2,2,7,1,14
62,2019-10-02 08:00:00,2019,10,2,2,8,1,11
64,2019-10-02 09:00:00,2019,10,2,2,9,1,8
66,2019-10-02 10:00:00,2019,10,2,2,10,1,11
68,2019-10-02 11:00:00,2019,10,2,2,11,1,9
70,2019-10-02 12:00:00,2019,10,2,2,12,2,8
72,2019-10-02 13:00:00,2019,10,2,2,13,2,7
74,2019-10-02 14:00:00,2019,10,2,2,14,2,9
76,2019-10-02 15:00:00,2019,10,2,2,15,2,6
78,2019-10-02 16:00:00,2019,10,2,2,16,2,12
80,2019-10-02 17:00:00,2019,10,2,2,17,2,7
82,2019-10-02 18:00:00,2019,10,2,2,18,3,10
84,2019-10-02 19:00:00,2019,10,2,2,19,3,9
86,2019-10-02 20:00:00,2019,10,2,2,20,3,14
88,2019-10-02 21:00:00,2019,10,2,2,21,3,12
90,2019-10-02 22:00:00,2019,10,2,2,22,3,14
92,2019-10-02 23:00:00,2019,10,2,2,23,3,11
94,2019-10-03 00:00:00,2019,10,3,2,0,0,10
96,2019-10-03 01:00:00,2019,10,3,2,1,0,8
98,2019-10-03 02:00:00,2019,10,3,2,2,0,8
100,2019-10-03 03:00:00,2019,10,3,2,3,0,7
102,2019-10-03 04:00:00,2019,10,3,2,4,0,7
104,2019-10-03 05:00:00,2019,10,3,2,5,0,8
106,2019-10-03 06:00:00,2019,10,3,2,6,1,9
108,2019-10-03 07:00:00,2019,10,3,2,7,1,8
110,2019-10-03 08:00:00,2019,10,3,2,8,1,9
112,2019-10-03 09:00:00,2019,10,3,2,9,1,9
114,2019-10-03 10:00:00,2019,10,3,2,10,1,9
116,2019-10-03 11:00:00,2019,10,3,2,11,1,8
118,2019-10-03 12:00:00,2019,10,3,2,12,2,9
120,2019-10-03 13:00:00,2019,10,3,2,13,2,9
122,2019-10-03 14:00:00,2019,10,3,2,14,2,9
124,2019-10-03 15:00:00,2019,10,3,2,15,2,5
126,2019-10-03 16:00:00,2019,10,3,2,16,2,7
128,2019-10-03 17:00:00,2019,10,3,2,17,2,7
130,2019-10-03 18:00:00,2019,10,3,2,18,3,9
132,2019-10-03 19:00:00,2019,10,3,2,19,3,8
134,2019-10-03 20:00:00,2019,10,3,2,20,3,9
136,2019-10-03 21:00:00,2019,10,3,2,21,3,10
138,2019-10-03 22:00:00,2019,10,3,2,22,3,10
140,2019-10-03 23:00:00,2019,10,3,2,23,3,11
142,2019-10-04 00:00:00,2019,10,4,2,0,0,9
144,2019-10-04 01:00:00,2019,10,4,2,1,0,8
146,2019-10-04 02:00:00,2019,10,4,2,2,0,7
148,2019-10-04 03:00:00,2019,10,4,2,3,0,7
150,2019-10-04 04:00:00,2019,10,4,2,4,0,7
152,2019-10-04 05:00:00,2019,10,4,2,5,0,8
154,2019-10-04 06:00:00,2019,10,4,2,6,1,9
156,2019-10-04 07:00:00,2019,10,4,2,7,1,9
158,2019-10-04 08:00:00,2019,10,4,2,8,1,11
160,2019-10-04 09:00:00,2019,10,4,2,9,1,10
162,2019-10-04 10:00:00,2019,10,4,2,10,1,9
164,2019-10-04 11:00:00,2019,10,4,2,11,1,9
166,2019-10-04 12:00:00,2019,10,4,2,12,2,7
168,2019-10-04 13:00:00,2019,10,4,2,13,2,8
170,2019-10-04 14:00:00,2019,10,4,2,14,2,8
172,2019-10-04 15:00:00,2019,10,4,2,15,2,8
174,2019-10-04 16:00:00,2019,10,4,2,16,2,8
176,2019-10-04 17:00:00,2019,10,4,2,17,2,7
178,2019-10-04 18:00:00,2019,10,4,2,18,3,8
180,2019-10-04 19:00:00,2019,10,4,2,19,3,9
182,2019-10-04 20:00:00,2019,10,4,2,20,3,10
184,2019-10-04 21:00:00,2019,10,4,2,21,3,9
186,2019-10-04 22:00:00,2019,10,4,2,22,3,10
188,2019-10-04 23:00:00,2019,10,4,2,23,3,8
190,2019-10-05 00:00:00,2019,10,5,2,0,0,8
192,2019-10-05 01:00:00,2019,10,5,2,1,0,8
194,2019-10-05 02:00:00,2019,10,5,2,2,0,7
196,2019-10-05 03:00:00,2019,10,5,2,3,0,8
198,2019-10-05 04:00:00,2019,10,5,2,4,0,6
200,2019-10-05 05:00:00,2019,10,5,2,5,0,7
202,2019-10-05 06:00:00,2019,10,5,2,6,1,8
204,2019-10-05 07:00:00,2019,10,5,2,7,1,8
206,2019-10-05 08:00:00,2019,10,5,2,8,1,8
208,2019-10-05 09:00:00,2019,10,5,2,9,1,9
210,2019-10-05 10:00:00,2019,10,5,2,10,1,10
212,2019-10-05 11:00:00,2019,10,5,2,11,1,9
214,2019-10-05 12:00:00,2019,10,5,2,12,2,8
216,2019-10-05 13:00:00,2019,10,5,2,13,2,9
218,2019-10-05 14:00:00,2019,10,5,2,14,2,8
220,2019-10-05 15:00:00,2019,10,5,2,15,2,7
222,2019-10-05 16:00:00,2019,10,5,2,16,2,8
224,2019-10-05 17:00:00,2019,10,5,2,17,2,8
226,2019-10-05 18:00:00,2019,10,5,2,18,3,8
228,2019-10-05 19:00:00,2019,10,5,2,19,3,8
230,2019-10-05 20:00:00,2019,10,5,2,20,3,10
232,2019-10-05 21:00:00,2019,10,5,2,21,3,11
234,2019-10-05 22:00:00,2019,10,5,2,22,3,10
236,2019-10-05 23:00:00,2019,10,5,2,23,3,10
238,2019-10-06 00:00:00,2019,10,6,2,0,0,10
240,2019-10-06 01:00:00,2019,10,6,2,1,0,8
242,2019-10-06 02:00:00,2019,10,6,2,2,0,8
244,2019-10-06 03:00:00,2019,10,6,2,3,0,7
246,2019-10-06 04:00:00,2019,10,6,2,4,0,8
248,2019-10-06 05:00:00,2019,10,6,2,5,0,8
250,2019-10-06 06:00:00,2019,10,6,2,6,1,9
252,2019-10-06 07:00:00,2019,10,6,2,7,1,8
254,2019-10-06 08:00:00,2019,10,6,2,8,1,8
256,2019-10-06 09:00:00,2019,10,6,2,9,1,10
258,2019-10-06 10:00:00,2019,10,6,2,10,1,10
260,2019-10-06 11:00:00,2019,10,6,2,11,1,10
262,2019-10-06 12:00:00,2019,10,6,2,12,2,8
264,2019-10-06 13:00:00,2019,10,6,2,13,2,9
266,2019-10-06 14:00:00,2019,10,6,2,14,2,8
268,2019-10-06 15:00:00,2019,10,6,2,15,2,8
270,2019-10-06 16:00:00,2019,10,6,2,16,2,9
272,2019-10-06 17:00:00,2019,10,6,2,17,2,9
274,2019-10-06 18:00:00,2019,10,6,2,18,3,10
276,2019-10-06 19:00:00,2019,10,6,2,19,3,12
278,2019-10-06 20:00:00,2019,10,6,2,20,3,12
280,2019-10-06 21:00:00,2019,10,6,2,21,3,13
282,2019-10-06 22:00:00,2019,10,6,2,22,3,15
284,2019-10-06 23:00:00,2019,10,6,2,23,3,14
286,2019-10-07 00:00:00,2019,10,7,2,0,0,14
288,2019-10-07 01:00:00,2019,10,7,2,1,0,11
290,2019-10-07 02:00:00,2019,10,7,2,2,0,9
292,2019-10-07 03:00:00,2019,10,7,2,3,0,8
294,2019-10-07 04:00:00,2019,10,7,2,4,0,8
296,2019-10-07 05:00:00,2019,10,7,2,5,0,9
298,2019-10-07 06:00:00,2019,10,7,2,6,1,10
300,2019-10-07 07:00:00,2019,10,7,2,7,1,12
302,2019-10-07 08:00:00,2019,10,7,2,8,1,15
304,2019-10-07 09:00:00,2019,10,7,2,9,1,10
306,2019-10-07 10:00:00,2019,10,7,2,10,1,10
308,2019-10-07 11:00:00,2019,10,7,2,11,1,9
310,2019-10-07 12:00:00,2019,10,7,2,12,2,8
312,2019-10-07 13:00:00,2019,10,7,2,13,2,8
314,2019-10-07 14:00:00,2019,10,7,2,14,2,8
316,2019-10-07 15:00:00,2019,10,7,2,15,2,8
318,2019-10-07 16:00:00,2019,10,7,2,16,2,9
320,2019-10-07 17:00:00,2019,10,7,2,17,2,9
322,2019-10-07 18:00:00,2019,10,7,2,18,3,10
324,2019-10-07 19:00:00,2019,10,7,2,19,3,13
326,2019-10-07 20:00:00,2019,10,7,2,20,3,15
328,2019-10-07 21:00:00,2019,10,7,2,21,3,15
330,2019-10-07 22:00:00,2019,10,7,2,22,3,15
332,2019-10-07 23:00:00,2019,10,7,2,23,3,16
334,2019-10-08 00:00:00,2019,10,8,2,0,0,14
336,2019-10-08 01:00:00,2019,10,8,2,1,0,11
338,2019-10-08 02:00:00,2019,10,8,2,2,0,11
340,2019-10-08 03:00:00,2019,10,8,2,3,0,10
342,2019-10-08 04:00:00,2019,10,8,2,4,0,9
344,2019-10-08 05:00:00,2019,10,8,2,5,0,9
346,2019-10-08 06:00:00,2019,10,8,2,6,1,10
348,2019-10-08 07:00:00,2019,10,8,2,7,1,12
350,2019-10-08 08:00:00,2019,10,8,2,8,1,16
352,2019-10-08 09:00:00,2019,10,8,2,9,1,12
354,2019-10-08 10:00:00,2019,10,8,2,10,1,10
356,2019-10-08 11:00:00,2019,10,8,2,11,1,9
358,2019-10-08 12:00:00,2019,10,8,2,12,2,8
360,2019-10-08 13:00:00,2019,10,8,2,13,2,8
362,2019-10-08 14:00:00,2019,10,8,2,14,2,8
364,2019-10-08 15:00:00,2019,10,8,2,15,2,7
366,2019-10-08 16:00:00,2019,10,8,2,16,2,7
368,2019-10-08 17:00:00,2019,10,8,2,17,2,8
370,2019-10-08 18:00:00,2019,10,8,2,18,3,8
372,2019-10-08 19:00:00,2019,10,8,2,19,3,10
