,METER_DATE,YEAR,MONTH,DAY,SEASON,HOUR,TIME_PERIOD,PAJU
0,2019-10-01 01:00:00,2019,10,1,2,1,0,20
2,2019-10-01 02:00:00,2019,10,1,2,2,0,15
4,2019-10-01 03:00:00,2019,10,1,2,3,0,14
6,2019-10-01 04:00:00,2019,10,1,2,4,0,14
8,2019-10-01 05:00:00,2019,10,1,2,5,0,14
10,2019-10-01 06:00:00,2019,10,1,2,6,1,16
12,2019-10-01 07:00:00,2019,10,1,2,7,1,16
14,2019-10-01 08:00:00,2019,10,1,2,8,1,18
16,2019-10-01 09:00:00,2019,10,1,2,9,1,13
18,2019-10-01 10:00:00,2019,10,1,2,10,1,13
20,2019-10-01 11:00:00,2019,10,1,2,11,1,11
22,2019-10-01 12:00:00,2019,10,1,2,12,2,13
24,2019-10-01 13:00:00,2019,10,1,2,13,2,10
26,2019-10-01 14:00:00,2019,10,1,2,14,2,9
28,2019-10-01 15:00:00,2019,10,1,2,15,2,10
30,2019-10-01 16:00:00,2019,10,1,2,16,2,10
32,2019-10-01 17:00:00,2019,10,1,2,17,2,10
34,2019-10-01 18:00:00,2019,10,1,2,18,3,10
36,2019-10-01 19:00:00,2019,10,1,2,19,3,9
38,2019-10-01 20:00:00,2019,10,1,2,20,3,9
40,2019-10-01 21:00:00,2019,10,1,2,21,3,15
42,2019-10-01 22:00:00,2019,10,1,2,22,3,14
44,2019-10-01 23:00:00,2019,10,1,2,23,3,14
46,2019-10-02 00:00:00,2019,10,2,2,0,0,13
48,2019-10-02 01:00:00,2019,10,2,2,1,0,31
50,2019-10-02 02:00:00,2019,10,2,2,2,0,21
52,2019-10-02 03:00:00,2019,10,2,2,3,0,20
54,2019-10-02 04:00:00,2019,10,2,2,4,0,20
56,2019-10-02 05:00:00,2019,10,2,2,5,0,20
58,2019-10-02 06:00:00,2019,10,2,2,6,1,25
60,2019-10-02 07:00:00,2019,10,2,2,7,1,23
62,2019-10-02 08:00:00,2019,10,2,2,8,1,28
64,2019-10-02 09:00:00,2019,10,2,2,9,1,17
