,METER_DATE,YEAR,MONTH,DAY,SEASON,HOUR,TIME_PERIOD,PYONGTAEK
0,2019-10-01 01:00:00,2019,10,1,2,1,0,0.5
2,2019-10-01 02:00:00,2019,10,1,2,2,0,0.5
4,2019-10-01 03:00:00,2019,10,1,2,3,0,0.5
6,2019-10-01 04:00:00,2019,10,1,2,4,0,0.5
8,2019-10-01 05:00:00,2019,10,1,2,5,0,0.5
10,2019-10-01 06:00:00,2019,10,1,2,6,1,0.5
12,2019-10-01 07:00:00,2019,10,1,2,7,1,0.5
14,2019-10-01 08:00:00,2019,10,1,2,8,1,1.0
16,2019-10-01 09:00:00,2019,10,1,2,9,1,1.0
18,2019-10-01 10:00:00,2019,10,1,2,10,1,0.5
20,2019-10-01 11:00:00,2019,10,1,2,11,1,0.5
22,2019-10-01 12:00:00,2019,10,1,2,12,2,0.5
24,2019-10-01 13:00:00,2019,10,1,2,13,2,0.5
26,2019-10-01 14:00:00,2019,10,1,2,14,2,0.5
28,2019-10-01 15:00:00,2019,10,1,2,15,2,0.5
30,2019-10-01 16:00:00,2019,10,1,2,16,2,1.0
32,2019-10-01 17:00:00,2019,10,1,2,17,2,1.0
34,2019-10-01 18:00:00,2019,10,1,2,18,3,1.0
36,2019-10-01 19:00:00,2019,10,1,2,19,3,1.0
38,2019-10-01 20:00:00,2019,10,1,2,20,3,0.0
40,2019-10-01 21:00:00,2019,10,1,2,21,3,0.0
42,2019-10-01 22:00:00,2019,10,1,2,22,3,0.0
44,2019-10-01 23:00:00,2019,10,1,2,23,3,0.0
46,2019-10-02 00:00:00,2019,10,2,2,0,0,0.5
48,2019-10-02 01:00:00,2019,10,2,2,1,0,0.0
50,2019-10-02 02:00:00,2019,10,2,2,2,0,0.0
52,2019-10-02 03:00:00,2019,10,2,2,3,0,0.0
54,2019-10-02 04:00:00,2019,10,2,2,4,0,0.0
56,2019-10-02 05:00:00,2019,10,2,2,5,0,0.0
58,2019-10-02 06:00:00,2019,10,2,2,6,1,0.0
60,2019-10-02 07:00:00,2019,10,2,2,7,1,0.0
62,2019-10-02 08:00:00,2019,10,2,2,8,1,0.5
64,2019-10-02 09:00:00,2019,10,2,2,9,1,0.5
66,2019-10-02 10:00:00,2019,10,2,2,10,1,1.0
68,2019-10-02 11:00:00,2019,10,2,2,11,1,1.0
70,2019-10-02 12:00:00,2019,10,2,2,12,2,0.5
72,2019-10-02 13:00:00,2019,10,2,2,13,2,0.5
74,2019-10-02 14:00:00,2019,10,2,2,14,2,1.0
76,2019-10-02 15:00:00,2019,10,2,2,15,2,1.0
