YEAR,SEASON,TIME_PERIOD,GOYANG
2019,2,0,1151.2622950819673
2019,2,1,1143.0819672131147
2019,2,2,934.983606557377
2019,2,3,1522.0819672131147
2019,3,0,2837.2258064516127
2019,3,1,2801.8709677419356
2019,3,2,2069.6774193548385
2019,3,3,2971.1290322580644
2020,0,0,1259.3804347826087
2020,0,1,1268.858695652174
2020,0,2,950.4239130434783
2020,0,3,1528.9891304347825
2020,1,0,366.0978260869565
2020,1,1,418.5652173913044
2020,1,2,339.6847826086956
2020,1,3,468.64130434782606
2020,2,0,940.6153846153846
2020,2,1,983.2857142857143
2020,2,2,824.0879120879121
2020,2,3,1244.6373626373627
2020,3,0,2802.157142857143
2020,3,1,2697.934065934066
2020,3,2,2029.7109890109891
2020,3,3,3108.4175824175823
2021,0,0,1178.8478260869565
2021,0,1,1234.1739130434783
2021,0,2,895.7282608695652
2021,0,3,1372.1195652173913
2021,1,0,281.05434782608694
2021,1,1,412.4891304347826
2021,1,2,370.1521739130435
2021,1,3,509.29347826086956
2021,2,0,896.8571428571429
2021,2,1,1008.2087912087912
2021,2,2,781.065934065934
2021,2,3,1170.89010989011
2021,3,0,3145.9
2021,3,1,3037.7555555555555
2021,3,2,2127.9666666666667
2021,3,3,3529.9666666666667
2022,0,0,1256.8532608695652
2022,0,1,1346.4565217391305
2022,0,2,976.6684782608696
2022,0,3,1505.5
2022,1,0,261.64130434782606
2022,1,1,446.17391304347825
2022,1,2,459.07608695652175
2022,1,3,519.9565217391304
2022,2,0,270.51612903225805
2022,2,1,458.8666666666667
2022,2,2,461.6
2022,2,3,522.0666666666667
2022,3,0,3248.186440677966
2022,3,1,3473.5423728813557
2022,3,2,2638.3050847457625
2022,3,3,3710.9830508474574
