YEAR,SEASON,TIME_PERIOD,PANGYO
2019,2,0,163.1639344262295
2019,2,1,233.88524590163934
2019,2,2,228.68852459016392
2019,2,3,228.8360655737705
2019,3,0,408.5806451612903
2019,3,1,538.2903225806451
2019,3,2,460.2258064516129
2019,3,3,526.4193548387096
2020,0,0,189.3913043478261
2020,0,1,257.80434782608694
2020,0,2,249.58695652173913
2020,0,3,237.58695652173913
2020,1,0,64.46739130434783
2020,1,1,339.7173913043478
2020,1,2,496.9347826086956
2020,1,3,210.90217391304347
2020,2,0,151.23076923076923
2020,2,1,237.6043956043956
2020,2,2,267.1868131868132
2020,2,3,207.30769230769232
2020,3,0,439.75824175824175
2020,3,1,580.1648351648352
2020,3,2,485.6923076923077
2020,3,3,531.1098901098901
2021,0,0,180.40217391304347
2021,0,1,236.47826086956522
2021,0,2,239.3695652173913
2021,0,3,220.15217391304347
2021,1,0,77.40217391304348
2021,1,1,386.35869565217394
2021,1,2,547.3695652173913
2021,1,3,241.3913043478261
2021,2,0,152.3186813186813
2021,2,1,269.6703296703297
2021,2,2,303.61538461538464
2021,2,3,225.1868131868132
2021,3,0,514.3
2021,3,1,646.5777777777778
2021,3,2,540.1444444444444
2021,3,3,583.4111111111112
2022,0,0,198.55434782608697
2022,0,1,277.30434782608694
2022,0,2,291.7826086956522
2022,0,3,240.29347826086956
2022,1,0,93.98913043478261
2022,1,1,388.64130434782606
2022,1,2,552.6521739130435
2022,1,3,277.4673913043478
2022,2,0,62.064516129032256
2022,2,1,253.73333333333332
2022,2,2,430.73333333333335
2022,2,3,201.66666666666666
2022,3,0,583.3220338983051
2022,3,1,726.0847457627119
2022,3,2,581.0169491525423
2022,3,3,655.2881355932203
