YEAR,SEASON,TIME_PERIOD,SAMSONG
2019,2,0,282.2295081967213
2019,2,1,279.9836065573771
2019,2,2,230.70491803278688
2019,2,3,327.6885245901639
2019,3,0,613.3870967741935
2019,3,1,589.0322580645161
2019,3,2,480.19354838709677
2019,3,3,666.258064516129
2020,0,0,308.3478260869565
2020,0,1,317.6630434782609
2020,0,2,272.1304347826087
2020,0,3,364.8369565217391
2020,1,0,96.47826086956522
2020,1,1,184.6304347826087
2020,1,2,279.2391304347826
2020,1,3,226.66304347826087
2020,2,0,242.86813186813185
2020,2,1,263.7362637362637
2020,2,2,248.53846153846155
2020,2,3,316.4065934065934
2020,3,0,663.6813186813187
2020,3,1,649.5824175824176
2020,3,2,508.68131868131866
2020,3,3,715.2967032967033
2021,0,0,284.4021739130435
2021,0,1,311.0326086956522
2021,0,2,254.25
2021,0,3,362.10869565217394
2021,1,0,122.1304347826087
2021,1,1,227.7826086956522
2021,1,2,307.14130434782606
2021,1,3,263.0869565217391
2021,2,0,255.01098901098902
2021,2,1,290.989010989011
2021,2,2,276.9230769230769
2021,2,3,329.68131868131866
2021,3,0,753.3111111111111
2021,3,1,739.2
2021,3,2,596.6777777777778
2021,3,3,808.5888888888888
2022,0,0,329.1521739130435
2022,0,1,366.8369565217391
2022,0,2,306.6847826086956
2022,0,3,420.3804347826087
2022,1,0,143.2608695652174
2022,1,1,269.80434782608694
2022,1,2,348.8967391304348
2022,1,3,323.51630434782606
2022,2,0,116.25806451612904
2022,2,1,217.5
2022,2,2,270.1666666666667
2022,2,3,253.9
2022,3,0,874.1864406779661
2022,3,1,851.457627118644
2022,3,2,673.4237288135594
2022,3,3,913.7118644067797
