YEAR,SEASON,TIME_PERIOD,SUWON
2019,2,0,627.7540983606557
2019,2,1,712.5245901639345
2019,2,2,513.0655737704918
2019,2,3,833.9508196721312
2019,3,0,1598.1935483870968
2019,3,1,1592.6129032258063
2019,3,2,1181.9032258064517
2019,3,3,1773.6129032258063
2020,0,0,696.0978260869565
2020,0,1,732.7826086956521
2020,0,2,648.1847826086956
2020,0,3,863.3695652173913
2020,1,0,205.6304347826087
2020,1,1,216.18478260869566
2020,1,2,198.2608695652174
2020,1,3,252.47826086956522
2020,2,0,543.2527472527472
2020,2,1,572.5714285714286
2020,2,2,507.9120879120879
2020,2,3,676.4175824175824
2020,3,0,1574.6043956043957
2020,3,1,1626.8791208791208
2020,3,2,1371.9120879120878
2020,3,3,1882.6153846153845
2021,0,0,656.2717391304348
2021,0,1,684.0434782608696
2021,0,2,597.4239130434783
2021,0,3,812.5652173913044
2021,1,0,188.6413043478261
2021,1,1,207.09782608695653
2021,1,2,194.47826086956522
2021,1,3,235.22826086956522
2021,2,0,520.1978021978022
2021,2,1,552.5274725274726
2021,2,2,489.7692307692308
2021,2,3,659.2747252747253
2021,3,0,1637.3233333333335
2021,3,1,1724.0977777777775
2021,3,2,1514.5366666666666
2021,3,3,2063.0755555555556
2022,0,0,701.445652173913
2022,0,1,734.695652173913
2022,0,2,648.7717391304348
2022,0,3,875.6086956521739
2022,1,0,184.55434782608697
2022,1,1,219.58695652173913
2022,1,2,204.7608695652174
2022,1,3,271.19565217391306
2022,2,0,182.25806451612902
2022,2,1,254.0
2022,2,2,217.43333333333334
2022,2,3,325.46666666666664
2022,3,0,1768.1694915254238
2022,3,1,1862.5084745762713
2022,3,2,1634.1864406779662
2022,3,3,2221.0508474576272
