HEAT_SELL_DATE,DAY_OF_THE_WEEK,HOUR,SEJONG
2014-01-01,수,1,22.5
2014-01-01,수,2,20.2
2014-01-01,수,3,21.0
2014-01-01,수,4,24.0
2014-01-01,수,5,25.0
2014-01-01,수,6,21.1
2014-01-01,수,7,22.7
2014-01-01,수,8,20.8
2014-01-01,수,9,26.7
2014-01-01,수,10,13.7
2014-01-01,수,11,12.6
2014-01-01,수,12,14.2
2014-01-01,수,13,13.6
2014-01-01,수,14,11.2
2014-01-01,수,15,14.0
2014-01-01,수,16,12.8
2014-01-01,수,17,10.9
2014-01-01,수,18,15.5
2014-01-01,수,19,21.0
2014-01-01,수,20,23.0
2014-01-01,수,21,23.0
2014-01-01,수,22,27.7
2014-01-01,수,23,33.4
2014-01-01,수,24,24.7
2014-01-02,목,1,24.0
2014-01-02,목,2,20.0
2014-01-02,목,3,17.0
2014-01-02,목,4,20.1
2014-01-02,목,5,21.2
2014-01-02,목,6,25.5
2014-01-02,목,7,27.5
2014-01-02,목,8,28.6
2014-01-02,목,9,27.4
2014-01-02,목,10,22.8
2014-01-02,목,11,23.0
2014-01-02,목,12,17.2
2014-01-02,목,13,16.5
2014-01-02,목,14,9.4
2014-01-02,목,15,9.3
2014-01-02,목,16,12.0
2014-01-02,목,17,14.0
2014-01-02,목,18,14.0
2014-01-02,목,19,19.6
2014-01-02,목,20,23.0
2014-01-02,목,21,23.5
2014-01-02,목,22,23.4
2014-01-02,목,23,23.7
2014-01-02,목,24,28.3
2014-01-03,금,1,24.0
2014-01-03,금,2,24.2
2014-01-03,금,3,23.4
2014-01-03,금,4,25.6
2014-01-03,금,5,25.5
2014-01-03,금,6,25.4
2014-01-03,금,7,23.8
2014-01-03,금,8,44.1
2014-01-03,금,9,20.1
2014-01-03,금,10,18.2
2014-01-03,금,11,16.4
2014-01-03,금,12,19.4
2014-01-03,금,13,17.7
2014-01-03,금,14,20.6
2014-01-03,금,15,20.0
2014-01-03,금,16,20.0
2014-01-03,금,17,20.1
2014-01-03,금,18,21.1
2014-01-03,금,19,24.1
2014-01-03,금,20,26.7
2014-01-03,금,21,26.0
2014-01-03,금,22,25.3
2014-01-03,금,23,23.0
2014-01-03,금,24,22.0
2014-01-04,토,1,18.0
2014-01-04,토,2,19.1
2014-01-04,토,3,19.5
2014-01-04,토,4,18.0
2014-01-04,토,5,21.0
2014-01-04,토,6,20.0
2014-01-04,토,7,16.0
2014-01-04,토,8,13.0
2014-01-04,토,9,39.0
2014-01-04,토,10,13.0
