,METER_DATE,YEAR,MONTH,DAY,SEASON,HOUR,TIME_PERIOD,YANGSAN
0,2019-10-01 01:00:00,2019,10,1,2,1,0,10
2,2019-10-01 02:00:00,2019,10,1,2,2,0,9
4,2019-10-01 03:00:00,2019,10,1,2,3,0,8
6,2019-10-01 04:00:00,2019,10,1,2,4,0,8
8,2019-10-01 05:00:00,2019,10,1,2,5,0,8
10,2019-10-01 06:00:00,2019,10,1,2,6,1,9
12,2019-10-01 07:00:00,2019,10,1,2,7,1,13
14,2019-10-01 08:00:00,2019,10,1,2,8,1,22
16,2019-10-01 09:00:00,2019,10,1,2,9,1,17
18,2019-10-01 10:00:00,2019,10,1,2,10,1,14
20,2019-10-01 11:00:00,2019,10,1,2,11,1,14
22,2019-10-01 12:00:00,2019,10,1,2,12,2,12
24,2019-10-01 13:00:00,2019,10,1,2,13,2,11
26,2019-10-01 14:00:00,2019,10,1,2,14,2,13
28,2019-10-01 15:00:00,2019,10,1,2,15,2,11
30,2019-10-01 16:00:00,2019,10,1,2,16,2,12
32,2019-10-01 17:00:00,2019,10,1,2,17,2,12
34,2019-10-01 18:00:00,2019,10,1,2,18,3,13
36,2019-10-01 19:00:00,2019,10,1,2,19,3,15
38,2019-10-01 20:00:00,2019,10,1,2,20,3,17
40,2019-10-01 21:00:00,2019,10,1,2,21,3,18
42,2019-10-01 22:00:00,2019,10,1,2,22,3,19
44,2019-10-01 23:00:00,2019,10,1,2,23,3,16
46,2019-10-02 00:00:00,2019,10,2,2,0,0,14
48,2019-10-02 01:00:00,2019,10,2,2,1,0,10
50,2019-10-02 02:00:00,2019,10,2,2,2,0,11
52,2019-10-02 03:00:00,2019,10,2,2,3,0,8
54,2019-10-02 04:00:00,2019,10,2,2,4,0,9
56,2019-10-02 05:00:00,2019,10,2,2,5,0,9
58,2019-10-02 06:00:00,2019,10,2,2,6,1,8
60,2019-10-02 07:00:00,2019,10,2,2,7,1,12
62,2019-10-02 08:00:00,2019,10,2,2,8,1,22
64,2019-10-02 09:00:00,2019,10,2,2,9,1,16
66,2019-10-02 10:00:00,2019,10,2,2,10,1,13
68,2019-10-02 11:00:00,2019,10,2,2,11,1,12
70,2019-10-02 12:00:00,2019,10,2,2,12,2,12
72,2019-10-02 13:00:00,2019,10,2,2,13,2,12
74,2019-10-02 14:00:00,2019,10,2,2,14,2,11
76,2019-10-02 15:00:00,2019,10,2,2,15,2,10
78,2019-10-02 16:00:00,2019,10,2,2,16,2,13
80,2019-10-02 17:00:00,2019,10,2,2,17,2,13
82,2019-10-02 18:00:00,2019,10,2,2,18,3,15
84,2019-10-02 19:00:00,2019,10,2,2,19,3,19
86,2019-10-02 20:00:00,2019,10,2,2,20,3,21
88,2019-10-02 21:00:00,2019,10,2,2,21,3,23
90,2019-10-02 22:00:00,2019,10,2,2,22,3,19
92,2019-10-02 23:00:00,2019,10,2,2,23,3,15
94,2019-10-03 00:00:00,2019,10,3,2,0,0,12
96,2019-10-03 01:00:00,2019,10,3,2,1,0,11
