,index,2019-2-0,2019-2-1,2019-2-2,2019-2-3,2019-3-0,2019-3-1,2019-3-2,2019-3-3,2020-0-0,2020-0-1,2020-0-2,2020-0-3,2020-1-0,2020-1-1,2020-1-2,2020-1-3,2020-2-0,2020-2-1,2020-2-2,2020-2-3,2020-3-0,2020-3-1,2020-3-2,2020-3-3,2021-0-0,2021-0-1,2021-0-2,2021-0-3,2021-1-0,2021-1-1,2021-1-2,2021-1-3,2021-2-0,2021-2-1,2021-2-2,2021-2-3,2021-3-0,2021-3-1,2021-3-2,2021-3-3,2022-0-0,2022-0-1,2022-0-2,2022-0-3,2022-1-0,2022-1-1,2022-1-2,2022-1-3,2022-2-0,2022-2-1,2022-2-2,2022-2-3,2022-3-0,2022-3-1,2022-3-2,2022-3-3,target
0,PAJU,257.8688524590164,235.37704918032787,149.52459016393442,301.88524590163934,591.3548387096774,504.9354838709677,285.258064516129,622.0645161290323,277.0978260869565,264.45652173913044,178.15217391304347,281.5652173913044,101.8804347826087,97.32608695652172,68.96739130434783,100.5108695652174,220.1868131868132,205.32967032967036,155.01098901098902,288.6703296703297,580.2307692307693,525.6923076923077,342.05494505494505,693.7692307692307,258.2717391304348,256.8695652173913,176.1086956521739,317.9782608695652,70.04347826086956,107.3913043478261,92.6304347826087,141.2391304347826,209.07692307692307,226.4175824175824,171.3956043956044,288.8131868131868,657.8111111111111,625.9444444444445,449.68888888888887,826.7444444444444,300.14130434782606,307.89130434782606,225.06521739130437,373.94565217391306,43.22826086956522,118.46739130434784,151.54347826086956,176.45652173913044,40.58064516129032,127.56666666666666,123.83333333333331,199.2,790.0169491525423,736.6440677966102,535.3220338983051,859.9152542372881,0
1,GOYANG,1151.2622950819673,1143.0819672131147,934.983606557377,1522.0819672131147,2837.2258064516127,2801.870967741936,2069.6774193548385,2971.1290322580644,1259.3804347826087,1268.858695652174,950.4239130434784,1528.9891304347825,366.0978260869565,418.5652173913044,339.6847826086956,468.64130434782606,940.6153846153846,983.2857142857144,824.0879120879121,1244.637362637363,2802.157142857143,2697.934065934066,2029.710989010989,3108.4175824175823,1178.8478260869565,1234.1739130434785,895.7282608695652,1372.1195652173913,281.05434782608694,412.4891304347826,370.1521739130435,509.2934782608696,896.8571428571429,1008.2087912087912,781.065934065934,1170.89010989011,3145.9,3037.7555555555555,2127.9666666666667,3529.9666666666667,1256.8532608695652,1346.4565217391305,976.6684782608696,1505.5,261.64130434782606,446.1739130434783,459.07608695652175,519.9565217391304,270.51612903225805,458.8666666666667,461.6,522.0666666666667,3248.186440677966,3473.542372881356,2638.3050847457625,3710.9830508474574,0
2,SAMSONG,282.2295081967213,279.9836065573771,230.70491803278688,327.6885245901639,613.3870967741935,589.0322580645161,480.1935483870968,666.258064516129,308.3478260869565,317.6630434782609,272.1304347826087,364.8369565217391,96.47826086956522,184.6304347826087,279.2391304347826,226.66304347826087,242.86813186813183,263.7362637362637,248.53846153846155,316.4065934065934,663.6813186813187,649.5824175824176,508.68131868131866,715.2967032967033,284.4021739130435,311.0326086956522,254.25,362.10869565217394,122.1304347826087,227.7826086956522,307.14130434782606,263.0869565217391,255.01098901098905,290.989010989011,276.9230769230769,329.68131868131866,753.3111111111111,739.2,596.6777777777778,808.5888888888888,329.1521739130435,366.8369565217391,306.6847826086956,420.3804347826087,143.2608695652174,269.80434782608694,348.8967391304348,323.51630434782606,116.25806451612904,217.5,270.1666666666667,253.9,874.1864406779661,851.457627118644,673.4237288135594,913.7118644067796,0
3,JOONGANG,581.083606557377,604.1852459016394,472.6032786885246,667.5213114754099,1302.5806451612902,1437.9354838709678,1199.8064516129032,1502.1612903225807,646.1663043478261,667.8978260869565,500.4739130434783,676.2130434782608,137.9586956521739,183.25,188.3413043478261,189.90108695652177,485.7494505494505,517.1615384615384,410.956043956044,566.5703296703297,1327.543956043956,1493.1692307692308,1269.9164835164834,1528.3230769230768,557.0282608695652,596.945652173913,441.6815217391304,611.6728260869565,128.25,171.33695652173913,180.31521739130437,182.9880434782609,427.3989010989012,482.43956043956047,362.6703296703297,514.8076923076923,1382.9444444444443,1573.1444444444444,1338.411111111111,1585.0733333333335,532.9673913043479,585.195652173913,439.2434782608696,610.6282608695652,132.29347826086956,198.7391304347826,201.13260869565215,216.62391304347827,124.70967741935485,195.9,189.3,211.56666666666663,1426.3898305084747,1639.8305084745762,1376.050847457627,1633.715254237288,0
4,KANGNAM,1370.3754098360655,1357.1524590163935,1011.144262295082,1488.770491803279,2908.206451612903,2891.809677419355,2347.3193548387094,3215.3870967741937,1415.0858695652173,1357.1880434782609,1095.6130434782608,1493.8869565217392,313.0141304347826,537.5163043478261,684.304347826087,555.2739130434783,1075.2395604395604,1089.9703296703296,913.1021978021978,1269.9637362637363,2946.223076923077,2991.694505494506,2427.204395604396,3305.674725274725,1242.6576086956522,1282.545652173913,979.2510869565218,1403.0978260869565,332.1195652173913,579.9489130434783,719.9815217391305,561.6565217391304,1071.359340659341,1102.321978021978,913.5428571428572,1245.1593406593406,3143.526666666667,3216.615555555556,2623.21,3566.6566666666663,1307.6902173913045,1363.5434782608695,1010.5608695652174,1463.7521739130436,320.2608695652174,565.8641304347826,682.4815217391305,567.05,320.2258064516129,565.8666666666667,617.1666666666666,589.9666666666667,3377.657627118644,3503.054237288136,2755.406779661017,3849.137288135593,0
5,PANGYO,163.1639344262295,233.8852459016393,228.68852459016392,228.8360655737705,408.5806451612903,538.2903225806451,460.2258064516129,526.4193548387096,189.3913043478261,257.80434782608694,249.58695652173915,237.58695652173915,64.46739130434783,339.7173913043478,496.9347826086956,210.90217391304347,151.23076923076923,237.6043956043956,267.1868131868132,207.30769230769232,439.75824175824175,580.1648351648352,485.6923076923077,531.1098901098901,180.40217391304347,236.4782608695652,239.3695652173913,220.15217391304347,77.40217391304348,386.35869565217394,547.3695652173913,241.3913043478261,152.3186813186813,269.6703296703297,303.61538461538464,225.1868131868132,514.3,646.5777777777778,540.1444444444444,583.4111111111112,198.55434782608697,277.30434782608694,291.7826086956522,240.2934782608696,93.9891304347826,388.64130434782606,552.6521739130435,277.4673913043478,62.064516129032256,253.7333333333333,430.73333333333335,201.66666666666663,583.3220338983051,726.0847457627119,581.0169491525423,655.2881355932203,0
6,BUNDANG,788.8081967213116,896.5901639344262,651.8180327868853,903.3377049180328,1665.5774193548389,1952.7548387096772,1492.6548387096775,1872.8645161290324,817.4608695652173,954.7467391304348,698.3989130434783,941.1782608695652,213.0391304347826,370.0565217391304,424.9065217391304,298.1054347826087,674.089010989011,794.967032967033,627.0582417582418,765.9054945054944,1746.5384615384614,1973.2351648351648,1563.910989010989,1922.3956043956043,728.3228260869565,898.9858695652174,671.0326086956521,833.3326086956522,176.6195652173913,341.05760869565216,406.70108695652175,263.3,618.343956043956,765.1406593406593,619.9065934065934,702.3252747252747,1980.1911111111112,2206.378888888889,1804.405555555556,2100.6711111111117,761.9489130434783,978.7260869565216,743.7152173913043,889.8684782608696,208.8923913043478,354.96521739130435,426.6717391304348,284.6891304347826,219.86774193548385,346.76666666666665,383.56000000000006,268.5133333333334,2151.483050847457,2416.0440677966103,1915.9949152542367,2269.084745762712,0
7,YONGIN,1153.2622950819673,1152.2622950819673,880.327868852459,1296.2131147540983,2534.5806451612902,2347.516129032258,1751.645161290323,2671.5806451612902,1178.383695652174,1145.795652173913,1003.1913043478262,1363.025,277.1521739130435,385.8369565217391,535.0,486.8804347826087,945.3296703296704,932.8461538461538,777.8241758241758,1107.9120879120878,2553.043956043956,2414.4175824175823,1888.901098901099,2736.934065934066,1104.7717391304348,1096.695652173913,886.5434782608696,1242.75,289.70652173913044,374.3478260869565,436.4021739130435,440.5543478260869,881.1428571428571,896.7472527472528,741.6043956043956,1025.2747252747254,2730.5,2630.845555555556,2035.1255555555556,2942.063333333333,1174.3478260869565,1162.054347826087,953.4565217391304,1318.7934782608695,293.8478260869565,370.2391304347826,485.44565217391306,494.4347826086956,366.6774193548387,435.53333333333336,485.0,519.4,3000.0508474576272,2886.322033898305,2147.610169491525,3248.593220338983,0
8,GWANGGYO,189.29508196721312,194.672131147541,160.5737704918033,242.9672131147541,420.96774193548384,463.06451612903226,394.0967741935484,507.7741935483871,232.56521739130437,230.9891304347826,189.16304347826087,263.3152173913044,108.5108695652174,218.7391304347826,359.6847826086956,263.6304347826087,159.46153846153845,196.0439560439561,220.1868131868132,231.4835164835165,481.3406593406593,481.0989010989011,415.3296703296703,531.945054945055,180.40217391304347,220.34782608695653,203.1195652173913,243.30434782608697,114.55434782608695,264.5108695652174,438.9891304347826,289.3478260869565,170.64835164835165,215.7692307692308,255.34065934065933,246.5494505494505,506.55555555555554,526.3111111111111,453.03333333333336,589.3,207.3586956521739,245.16304347826087,242.84782608695653,268.8369565217391,144.3804347826087,270.8804347826087,425.2032608695652,321.3619565217391,90.19354838709675,197.3,330.5,225.9333333333333,565.6949152542373,581.1016949152543,486.7627118644068,641.2033898305085,0
9,SUWON,627.7540983606557,712.5245901639345,513.0655737704918,833.9508196721312,1598.1935483870968,1592.6129032258063,1181.9032258064517,1773.6129032258063,696.0978260869565,732.7826086956521,648.1847826086956,863.3695652173913,205.6304347826087,216.18478260869568,198.2608695652174,252.4782608695652,543.2527472527472,572.5714285714286,507.9120879120879,676.4175824175824,1574.6043956043957,1626.8791208791208,1371.9120879120878,1882.6153846153843,656.2717391304348,684.0434782608696,597.4239130434783,812.5652173913044,188.6413043478261,207.09782608695653,194.4782608695652,235.2282608695652,520.1978021978022,552.5274725274726,489.7692307692308,659.2747252747253,1637.3233333333335,1724.0977777777775,1514.5366666666666,2063.075555555556,701.445652173913,734.695652173913,648.7717391304348,875.6086956521739,184.55434782608697,219.58695652173915,204.7608695652174,271.19565217391306,182.25806451612905,254.0,217.4333333333333,325.46666666666664,1768.1694915254238,1862.5084745762715,1634.1864406779662,2221.0508474576272,0
